"BACKSPACE_COUNT","CAC","CAR","CAT_R","CCC","CONDITION","CORRECTED_ERROR_RATE","CPS","ERROR_RATE","TEST_ID","INPUT_TIME","IS_LENGTH","KEYSTROKES_PER_CHARACTER","LEVENSHTEIN_DELETION","LEVENSHTEIN_INSERTION","LEVENSHTEIN_SUBSTITUTION","MINIMUM_STRING_DISTANCE","PHRASE_NUMBER","PT","PT_LENGTH","PARTICIPANT_ID","TOTAL_ERROR_RATE","TOTAL_PHRASES","TT","TT_LENGTH","T_CAT","VST","WPM","DATE"
0,0,0,0,0,"normal",0,1.38944025406907,2.77777777777778,"Dzeu6OUFPjIuGDU8msij",25.19,36,1,1,0,0,2.77777777777778,1,"weeping willows are found near water",36,"ZWH1by2chTTjxC5xBonl",2.77777777777778,12,"weeping willows are found near water",37,0,437,16.6732830488289,2022-02-09 10:04:39
1,1,3.7037037037037,15.1234871593034,0,"off",3.84615384615385,2.36150742890879,4,"5mAyB3gRUMCENfxppsm3",10.163,27,1.08,1,0,0,4,9,"wishful thinking is fine",24,"ZWH1by2chTTjxC5xBonl",7.69230769230769,12,"wishfull thinking is fine",25,1.537,139,28.3380891469054,2022-02-09 10:02:11
4,4,16.6666666666667,15.6609696546913,0,"off",20,2.61597488664109,0,"5mAyB3gRUMCENfxppsm3",5.734,24,1.5,0,0,0,0,10,"fish are jumping",16,"ZWH1by2chTTjxC5xBonl",20,12,"fish are jumping",16,0.898,267,31.3916986396931,2022-02-09 10:02:11
0,0,0,0,0,"off",0,3.71599203715992,0,"5mAyB3gRUMCENfxppsm3",7.535,29,1,0,0,0,0,11,"please take a bath this month",29,"ZWH1by2chTTjxC5xBonl",0,12,"please take a bath this month",29,0,232,44.591904445919,2022-02-09 10:02:11
0,0,0,0,0,"off",0,3.73785198106155,0,"5mAyB3gRUMCENfxppsm3",8.026,31,1,0,0,0,0,7,"reading week is just about here",31,"ZWH1by2chTTjxC5xBonl",0,12,"reading week is just about here",31,0,161,44.8542237727386,2022-02-09 10:02:11
0,0,0,0,0,"normal",0,2.72921108742004,0,"Dzeu6OUFPjIuGDU8msij",11.725,33,1,0,0,0,0,2,"parking tickets can be challenged",33,"ZWH1by2chTTjxC5xBonl",0,12,"parking tickets can be challenged",33,0,731,32.7505330490405,2022-02-09 10:04:39
0,0,0,0,0,"off",0,3.53565114908662,4,"5mAyB3gRUMCENfxppsm3",6.788,25,1,1,0,0,4,5,"wishful thinking is fine",24,"ZWH1by2chTTjxC5xBonl",4,12,"wishfull thinking is fine",25,0,275,42.4278137890395,2022-02-09 10:02:11
1,1,3.03030303030303,4.03289734443123,0,"normal",3.125,2.97265160523187,0,"Dzeu6OUFPjIuGDU8msij",10.092,33,1.06451612903226,0,0,0,0,6,"acutely aware of her good looks",31,"ZWH1by2chTTjxC5xBonl",3.125,12,"acutely aware of her good looks",31,0.407,185,35.6718192627824,2022-02-09 10:04:39
0,0,0,0,0,"normal",0,3.68740335434757,0,"Dzeu6OUFPjIuGDU8msij",8.407,32,1,0,0,0,0,8,"traveling requires a lot of fuel",32,"ZWH1by2chTTjxC5xBonl",0,12,"traveling requires a lot of fuel",32,0,179,44.2488402521708,2022-02-09 10:04:39
0,0,0,0,0,"normal",0,2.20448498669707,6.66666666666667,"Dzeu6OUFPjIuGDU8msij",13.155,30,1,1,0,1,6.66666666666667,5,"exercise is good for the mind",29,"ZWH1by2chTTjxC5xBonl",6.66666666666667,12,"excersise is good for the mind",30,0,97,26.4538198403649,2022-02-09 10:04:39
1,1,2.85714285714286,2.9926086172706,0,"normal",2.94117647058824,2.88444204074274,0,"Dzeu6OUFPjIuGDU8msij",11.094,35,1.06060606060606,0,0,0,0,11,"shivering is one way to keep warm",33,"ZWH1by2chTTjxC5xBonl",2.94117647058824,12,"shivering is one way to keep warm",33,0.332,232,34.6133044889129,2022-02-09 10:04:39
0,0,0,0,0,"normal",0,2.67151100662535,0,"Dzeu6OUFPjIuGDU8msij",9.358,26,1,0,0,0,0,10,"the minimum amount of time",26,"ZWH1by2chTTjxC5xBonl",0,12,"the minimum amount of time",26,0,182,32.0581320795042,2022-02-09 10:04:39
0,0,0,0,0,"normal",0,2.95689753212783,0,"Dzeu6OUFPjIuGDU8msij",8.793,27,1,0,0,0,0,9,"the union will go on strike",27,"ZWH1by2chTTjxC5xBonl",0,12,"the union will go on strike",27,0,301,35.4827703855339,2022-02-09 10:04:39
0,0,0,0,0,"normal",0,3.24149108589951,0,"Dzeu6OUFPjIuGDU8msij",9.255,31,1,0,0,0,0,4,"her majesty visited our country",31,"ZWH1by2chTTjxC5xBonl",0,12,"her majesty visited our country",31,0,169,38.8978930307942,2022-02-09 10:04:39
0,0,0,0,0,"normal",0,3.24633164524088,0,"Dzeu6OUFPjIuGDU8msij",7.701,26,1,0,0,0,0,7,"frequently asked questions",26,"ZWH1by2chTTjxC5xBonl",0,12,"frequently asked questions",26,0,215,38.9559797428905,2022-02-09 10:04:39
0,0,0,0,0,"enhanced",0,1.83511180588595,0,"CvVpNNUBLBqIrZyG7RAE",14.713,28,1,0,0,0,0,1,"i am going to a music lesson",28,"ZWH1by2chTTjxC5xBonl",0,12,"i am going to a music lesson",28,0,666,22.0213416706314,2022-02-09 10:07:23
0,0,0,0,0,"enhanced",0,2.40017455814968,13.0434782608696,"CvVpNNUBLBqIrZyG7RAE",9.166,23,1,2,1,0,13.0434782608696,2,"yes you are very smart",22,"ZWH1by2chTTjxC5xBonl",13.0434782608696,12,"yes yyouare very asmart",23,0,1014,28.8020946977962,2022-02-09 10:07:23
0,0,0,0,0,"normal",0,2.99065420560748,4,"Dzeu6OUFPjIuGDU8msij",8.025,25,1,1,0,0,4,3,"can we play cards tonight",25,"ZWH1by2chTTjxC5xBonl",4,12,"can we play cards tonight",26,0,520,35.8878504672897,2022-02-09 10:04:39
0,0,0,0,0,"enhanced",0,3.34486735870819,0,"CvVpNNUBLBqIrZyG7RAE",8.67,30,1,0,0,0,0,5,"the largest of the five oceans",30,"ZWH1by2chTTjxC5xBonl",0,12,"the largest of the five oceans",30,0,201,40.1384083044983,2022-02-09 10:07:23
0,0,0,0,0,"enhanced",0,3.24717495778673,0,"CvVpNNUBLBqIrZyG7RAE",7.699,26,1,0,0,0,0,4,"tickets are very expensive",26,"ZWH1by2chTTjxC5xBonl",0,12,"tickets are very expensive",26,0,127,38.9660994934407,2022-02-09 10:07:23
0,0,0,0,0,"enhanced",0,2.63504611330698,0,"CvVpNNUBLBqIrZyG7RAE",6.831,19,1,0,0,0,0,6,"do not say anything",19,"ZWH1by2chTTjxC5xBonl",0,12,"do not say anything",19,0,94,31.6205533596838,2022-02-09 10:07:23
0,0,0,0,0,"off",0,3.17965023847377,0,"Rsrmxamg4vNOaLqz7sH4",7.548,27,1.08,0,0,0,0,1,"for your information only",25,"og7wp8U4vBYG9qzI5h8C",0,12,"for your information only",25,0,809,38.1558028616852,2022-02-09 10:19:45
13,13,24.5283018867925,37.2159590227735,0,"enhanced",32.5,0.652823461470861,0,"CvVpNNUBLBqIrZyG7RAE",39.827,53,1.96296296296296,0,0,0,0,8,"effort is what it will take",27,"ZWH1by2chTTjxC5xBonl",32.5,12,"effort is what it will take",27,14.822,101,7.83388153765034,2022-02-09 10:07:23
0,0,0,0,0,"off",0,3.95377128953771,0,"Rsrmxamg4vNOaLqz7sH4",6.576,27,1,0,0,0,0,2,"the assault took six months",27,"og7wp8U4vBYG9qzI5h8C",0,12,"the assault took six months",27,0,619,47.4452554744526,2022-02-09 10:19:45
7,7,16.6666666666667,12.0863793766833,0,"enhanced",20,1.25048095421316,3.7037037037037,"CvVpNNUBLBqIrZyG7RAE",20.792,42,1.55555555555556,0,0,1,3.57142857142857,7,"do not feel too bad about it",28,"ZWH1by2chTTjxC5xBonl",22.8571428571429,12,"do not feel to  bad about it",28,2.513,441,15.0057714505579,2022-02-09 10:07:23
0,0,0,0,0,"enhanced",0,1.6245753950672,0,"CvVpNNUBLBqIrZyG7RAE",20.313,34,1,0,0,0,0,9,"the fire raged for an entire month",34,"ZWH1by2chTTjxC5xBonl",0,12,"the fire raged for an entire month",34,0,1828,19.4949047408064,2022-02-09 10:07:23
0,0,0,0,0,"enhanced",0,2.46386333771353,0,"CvVpNNUBLBqIrZyG7RAE",12.176,31,1,0,0,0,0,11,"never mix religion and politics",31,"ZWH1by2chTTjxC5xBonl",0,12,"never mix religion and politics",31,0,800,29.5663600525624,2022-02-09 10:07:23
0,0,0,0,0,"enhanced",0,1.61148549663053,0,"CvVpNNUBLBqIrZyG7RAE",13.652,23,1,0,0,0,0,10,"my favorite web browser",23,"ZWH1by2chTTjxC5xBonl",0,12,"my favorite web browser",23,0,239,19.3378259595664,2022-02-09 10:07:23
0,0,0,0,0,"enhanced",0,2.53310305123777,0,"CvVpNNUBLBqIrZyG7RAE",8.685,23,1,0,0,0,0,3,"you must be getting old",23,"ZWH1by2chTTjxC5xBonl",0,12,"you must be getting old",23,0,326,30.3972366148532,2022-02-09 10:07:23
1,1,2.85714285714286,5.72064406335908,0,"off",2.94117647058824,4.18902997774578,0,"Rsrmxamg4vNOaLqz7sH4",7.639,35,1.06060606060606,0,0,0,0,10,"raindrops keep falling on my head",33,"og7wp8U4vBYG9qzI5h8C",2.94117647058824,12,"raindrops keep falling on my head",33,0.437,223,50.2683597329493,2022-02-09 10:19:45
1,1,3.57142857142857,44.0732070653331,0,"off",4,2.44732921898276,0,"Rsrmxamg4vNOaLqz7sH4",9.398,28,1.16666666666667,0,0,0,0,5,"my fingers are very cold",24,"og7wp8U4vBYG9qzI5h8C",4,12,"my fingers are very cold",24,4.142,733,29.3679506277931,2022-02-09 10:19:45
0,0,0,0,0,"off",0,5.39568345323741,0,"Rsrmxamg4vNOaLqz7sH4",3.892,22,1,0,0,0,0,8,"love means many things",22,"og7wp8U4vBYG9qzI5h8C",0,12,"love means many things",22,0,317,64.7482014388489,2022-02-09 10:19:45
1,1,3.44827586206897,7.68558951965066,0,"off",3.57142857142857,4.54148471615721,0,"Rsrmxamg4vNOaLqz7sH4",5.725,29,1.07407407407407,0,0,0,0,7,"sit at the front of the bus",27,"og7wp8U4vBYG9qzI5h8C",3.57142857142857,12,"sit at the front of the bus",27,0.44,178,54.4978165938865,2022-02-09 10:19:45
0,0,0,0,0,"off",0,4.74516695957821,0,"Rsrmxamg4vNOaLqz7sH4",5.69,28,1,0,0,0,0,4,"machinery is too complicated",28,"og7wp8U4vBYG9qzI5h8C",0,12,"machinery is too complicated",28,0,572,56.9420035149385,2022-02-09 10:19:45
3,3,7.31707317073171,7.65649883621218,0,"off",7.89473684210526,4.16513536689942,0,"Rsrmxamg4vNOaLqz7sH4",8.163,41,1.17142857142857,0,0,0,0,11,"what a monkey sees a monkey will do",35,"og7wp8U4vBYG9qzI5h8C",7.89473684210526,12,"what a monkey sees a monkey will do",35,0.625,233,49.9816244027931,2022-02-09 10:19:45
0,0,0,0,0,"off",0,4.96401092082403,0,"Rsrmxamg4vNOaLqz7sH4",4.029,21,1,0,0,0,0,9,"he called seven times",21,"og7wp8U4vBYG9qzI5h8C",0,12,"he called seven times",21,0,167,59.5681310498883,2022-02-09 10:19:45
0,0,0,0,0,"off",0,3.86554621848739,0,"Rsrmxamg4vNOaLqz7sH4",5.95,24,1,0,0,0,0,6,"quit while you are ahead",24,"og7wp8U4vBYG9qzI5h8C",0,12,"quit while you are ahead",24,0,321,46.3865546218487,2022-02-09 10:19:45
1,1,2.27272727272727,3.74464438731791,0,"normal",2.32558139534884,3.51328191945159,0,"yrsLAfAfAVEPsJjph3MR",11.67,44,1.04761904761905,0,0,0,0,1,"if you come home late the doors are locked",42,"og7wp8U4vBYG9qzI5h8C",2.32558139534884,12,"if you come home late the doors are locked",42,0.437,355,42.159383033419,2022-02-09 10:21:47
