BACKSPACE_COUNT,CAC,CAR,CAT_R,CCC,CONDITION,CORRECTED_ERROR_RATE,CPS,ERROR_RATE,ID,INPUT_TIME,IS_LENGTH,KEYSTROKES_PER_CHARACTER,LEVENSHTEIN_DELETION,LEVENSHTEIN_INSERTION,LEVENSHTEIN_SUBSTITUTION,MINIMUM_STRING_DISTANCE,PHRASE_NUMBER,PT,PT_LENGTH,SESSION,TOTAL_ERROR_RATE,TOTAL_PHRASES,TT,TT_LENGTH,T_CAT,VST,WPM
0,0,0,0,0,off,0,3.7159920371599204,0,5mAyB3gRUMCENfxppsm3,7.535,29,1,0,0,0,0,11,please take a bath this month,29,ZWH1by2chTTjxC5xBonl,0,12,please take a bath this month,29,0,232,44.59190444591904
0,0,0,0,0,off,0,3.7378519810615503,0,5mAyB3gRUMCENfxppsm3,8.026,31,1,0,0,0,0,7,reading week is just about here,31,ZWH1by2chTTjxC5xBonl,0,12,reading week is just about here,31,0,161,44.85422377273861
0,0,0,0,0,off,0,3.883738411425708,0,5mAyB3gRUMCENfxppsm3,7.982,32,1,0,0,0,0,12,the acceptance speech was boring,32,ZWH1by2chTTjxC5xBonl,0,12,the acceptance speech was boring,32,0,109,46.6048609371085
0,0,0,0,0,normal,0,2.7292110874200426,0,Dzeu6OUFPjIuGDU8msij,11.725,33,1,0,0,0,0,2,parking tickets can be challenged,33,ZWH1by2chTTjxC5xBonl,0,12,parking tickets can be challenged,33,0,731,32.75053304904051
0,0,0,0,0,off,0,3.535651149086623,4,5mAyB3gRUMCENfxppsm3,6.788,25,1,1,0,0,4,5,wishful thinking is fine,24,ZWH1by2chTTjxC5xBonl,4,12,wishfull thinking is fine,25,0,275,42.427813789039476
1,1,3.0303030303030303,4.032897344431233,0,normal,3.125,2.972651605231867,0,Dzeu6OUFPjIuGDU8msij,10.092,33,1.064516129032258,0,0,0,0,6,acutely aware of her good looks,31,ZWH1by2chTTjxC5xBonl,3.125,12,acutely aware of her good looks,31,0.407,185,35.6718192627824
0,0,0,0,0,normal,0,3.6874033543475675,0,Dzeu6OUFPjIuGDU8msij,8.407,32,1,0,0,0,0,8,traveling requires a lot of fuel,32,ZWH1by2chTTjxC5xBonl,0,12,traveling requires a lot of fuel,32,0,179,44.24884025217081
0,0,0,0,0,normal,0,2.2044849866970733,6.666666666666667,Dzeu6OUFPjIuGDU8msij,13.155,30,1,1,0,1,6.666666666666667,5,exercise is good for the mind,29,ZWH1by2chTTjxC5xBonl,6.666666666666667,12,excersise is good for the mind,30,0,97,26.45381984036488
1,1,2.857142857142857,2.992608617270597,0,normal,2.941176470588235,2.884442040742744,0,Dzeu6OUFPjIuGDU8msij,11.094,35,1.0606060606060606,0,0,0,0,11,shivering is one way to keep warm,33,ZWH1by2chTTjxC5xBonl,2.941176470588235,12,shivering is one way to keep warm,33,0.332,232,34.613304488912924
0,0,0,0,0,normal,0,2.671511006625347,0,Dzeu6OUFPjIuGDU8msij,9.358,26,1,0,0,0,0,10,the minimum amount of time,26,ZWH1by2chTTjxC5xBonl,0,12,the minimum amount of time,26,0,182,32.05813207950416
0,0,0,0,0,normal,0,2.956897532127829,0,Dzeu6OUFPjIuGDU8msij,8.793,27,1,0,0,0,0,9,the union will go on strike,27,ZWH1by2chTTjxC5xBonl,0,12,the union will go on strike,27,0,301,35.48277038553395
0,0,0,0,0,normal,0,3.2414910858995136,0,Dzeu6OUFPjIuGDU8msij,9.255,31,1,0,0,0,0,4,her majesty visited our country,31,ZWH1by2chTTjxC5xBonl,0,12,her majesty visited our country,31,0,169,38.897893030794165
0,0,0,0,0,normal,0,3.246331645240878,0,Dzeu6OUFPjIuGDU8msij,7.701,26,1,0,0,0,0,7,frequently asked questions,26,ZWH1by2chTTjxC5xBonl,0,12,frequently asked questions,26,0,215,38.955979742890534
0,0,0,0,0,enhanced,0,1.8351118058859512,0,CvVpNNUBLBqIrZyG7RAE,14.713,28,1,0,0,0,0,1,i am going to a music lesson,28,ZWH1by2chTTjxC5xBonl,0,12,i am going to a music lesson,28,0,666,22.021341670631415
0,0,0,0,0,enhanced,0,2.4001745581496836,13.043478260869565,CvVpNNUBLBqIrZyG7RAE,9.166,23,1,2,1,0,13.043478260869565,2,yes you are very smart,22,ZWH1by2chTTjxC5xBonl,13.043478260869565,12,yes yyouare very asmart,23,0,1014,28.802094697796203
0,0,0,0,0,normal,0,2.9906542056074765,4,Dzeu6OUFPjIuGDU8msij,8.025,25,1,1,0,0,4,3,can we play cards tonight,25,ZWH1by2chTTjxC5xBonl,4,12,can we play cards tonight ,26,0,520,35.88785046728972
0,0,0,0,0,enhanced,0,3.344867358708189,0,CvVpNNUBLBqIrZyG7RAE,8.67,30,1,0,0,0,0,5,the largest of the five oceans,30,ZWH1by2chTTjxC5xBonl,0,12,the largest of the five oceans,30,0,201,40.13840830449827
0,0,0,0,0,enhanced,0,3.2471749577867257,0,CvVpNNUBLBqIrZyG7RAE,7.699,26,1,0,0,0,0,4,tickets are very expensive,26,ZWH1by2chTTjxC5xBonl,0,12,tickets are very expensive,26,0,127,38.96609949344071
0,0,0,0,0,enhanced,0,2.635046113306983,0,CvVpNNUBLBqIrZyG7RAE,6.831,19,1,0,0,0,0,6,do not say anything,19,ZWH1by2chTTjxC5xBonl,0,12,do not say anything,19,0,94,31.620553359683797
0,0,0,0,0,off,0,3.179650238473768,0,Rsrmxamg4vNOaLqz7sH4,7.548,27,1.08,0,0,0,0,1,for your information only,25,og7wp8U4vBYG9qzI5h8C,0,12,for your information only,25,0,809,38.15580286168522
13,13,24.528301886792452,37.21595902277349,0,enhanced,32.5,0.6528234614708615,0,CvVpNNUBLBqIrZyG7RAE,39.827,53,1.962962962962963,0,0,0,0,8,effort is what it will take,27,ZWH1by2chTTjxC5xBonl,32.5,12,effort is what it will take,27,14.822,101,7.8338815376503375
0,0,0,0,0,off,0,3.953771289537713,0,Rsrmxamg4vNOaLqz7sH4,6.576,27,1,0,0,0,0,2,the assault took six months,27,og7wp8U4vBYG9qzI5h8C,0,12,the assault took six months,27,0,619,47.44525547445256
7,7,16.666666666666664,12.08637937668334,0,enhanced,20,1.2504809542131587,3.7037037037037033,CvVpNNUBLBqIrZyG7RAE,20.792,42,1.5555555555555556,0,0,1,3.571428571428571,7,do not feel too bad about it,28,ZWH1by2chTTjxC5xBonl,22.857142857142858,12,do not feel to  bad about it,28,2.513,441,15.005771450557905
0,0,0,0,0,enhanced,0,1.9932641418654204,0,CvVpNNUBLBqIrZyG7RAE,14.549,30,1,0,0,0,0,12,the proprietor was unavailable,30,ZWH1by2chTTjxC5xBonl,0,12,the proprietor was unavailable,30,0,172,23.919169702385044
